iMSMS_ID,Flavobacteriia,Sphingobacteriia,Gammaproteobacteria,Tissierellia,Actinobacteria,Thermoprotei,Methanobacteria,Thermoplasmata,Clostridia,Deinococci,Thermomicrobia,Saprospiria,Bacteroidia,Fusobacteriia,Verrucomicrobiae,Planctomycetia,Spirochaetia,Chlamydiia,Fibrobacteria,Methanomicrobia,Alphaproteobacteria,Betaproteobacteria,Deltaproteobacteria,Anaerolineae,Epsilonproteobacteria,Dehalococcoidia,Mollicutes,Ktedonobacteria,Opitutae,Erysipelotrichia,Synergistia,Deferribacteres,Cytophagia,Coriobacteriia,Negativicutes,Bacilli
71401-0049,0.000189803542788573,4.21785650641272E-06,0.0142742808818273,0.0362197882846927,0.0112437509819697,0.000219328538333462,8.43571301282545E-06,0,0.189150829494205,0,0,0,0.6527502006118,0.026376365662852,0.00315179327441691,8.43571301282545E-06,9.06839148878736E-05,0.000170823188509715,9.06839148878736E-05,4.21785650641272E-06,4.00696368109209E-05,0.023346890227121,0.00572046788682226,0,0.000777140061306544,0,1.05446412660318E-05,0,0,0.0104877002031952,3.58517803045081E-05,0,2.10892825320636E-06,0.00933517091281796,0.0127737784296709,0.00351663786222161
71401-0050,0.000246365412899135,1.06913292390191E-05,0.0123312861762043,0.000132944354885194,0.00887240874718074,0,3.25388281187537E-06,0,0.56358226466525,0,9.29680803392963E-07,1.76639352644663E-05,0.369568107485976,2.04529776746452E-05,0.00775818630431428,1.39452120508944E-06,6.1823773425632E-05,3.71872321357185E-06,4.36949977594693E-05,1.39452120508944E-06,7.48393046731335E-05,0.00201973154537121,0.00166087475526153,0,3.48630301272361E-05,0,1.85936160678593E-06,0,2.78904241017889E-06,0.0115656940346102,2.88201049051819E-05,0,1.85936160678593E-06,0.00767265567040212,0.0103533902669857,0.00392604203272848
71401-0051,0.000131065298748226,2.4196670538134E-05,0.37426603432701,0.000100819460575558,0.00241563427539037,6.04916763453349E-06,0.00344399277326107,2.01638921151116E-06,0.252427732610659,0,0,6.04916763453349E-06,0.306577864885792,1.81475029036005E-05,0.000114934185056136,8.06555684604465E-06,5.24261194992902E-05,1.61311136920893E-05,9.8803071364047E-05,7.66227900374242E-05,0.00402269647696477,0.00552289005032908,0.00150019357336431,0,3.22622273841786E-05,0,4.63769518647567E-05,0,0,0.00689201832494515,3.42786165956898E-05,0,2.01638921151116E-06,0.00336736998322364,0.0350387953284295,0.00375451671183378
71401-0055,0.000307567841873238,0,0.00274323061196563,9.52302104544755E-05,0.0109416080092897,8.57929823914193E-07,0.000941577981745827,0,0.24162220802825,0,4.28964911957097E-07,2.57378947174258E-06,0.704788921380598,2.14482455978548E-06,0.0115653229912753,0,3.26013333087393E-05,1.71585964782839E-06,0.0001329791227067,1.50137719184984E-05,8.57929823914193E-06,6.99212806490068E-05,0.000142416350769756,0,6.60605964413929E-05,0,2.2306175421769E-05,0,0,0.00460107764565182,4.4183385931581E-05,0,2.14482455978548E-06,0.00402068811977387,0.0167618039347236,0.0010668357360373
71401-0060,0.000401302585951622,1.0138170592462E-05,0.000479450984268516,6.58981088510031E-05,0.0199569888112615,0,0,0,0.429369266389303,0,0,4.22423774685917E-06,0.503357635373091,1.68969509874367E-06,0.00096228135873452,5.91393284560284E-06,4.77338865395087E-05,0,8.23726360637539E-05,4.22423774685917E-07,7.60362794434651E-06,0.00575679120141968,0.00474255171839879,0,1.35175607899494E-05,0,3.80181397217326E-06,0,0,0.00786722037975053,4.22423774685917E-06,0,2.5345426481155E-06,0.0110341314185708,0.00335488961855556,0.0124674152860802
71401-0061,0.000211938303588307,7.987624507097E-06,0.107975110562036,0.00105915900964106,0.0200047393238742,2.07678237184522E-05,0.00656689236143468,0.00521591880313434,0.454532045018252,5.85759130520447E-06,5.32508300473134E-07,2.13003320189253E-05,0.356890790535197,2.98204648264955E-05,0.00769474494183678,4.7925747042582E-06,9.10589193809058E-05,2.44953818217641E-05,4.95232719440014E-05,7.45511620662387E-06,4.15356474369044E-05,0.00293092568580413,0.00268756939248791,0,6.81610624605611E-05,0,4.26006640378507E-06,0,0,0.00761220615526345,0.000100111560488949,0,2.13003320189253E-06,0.00325735327399416,0.00837369302494003,0.0145071236297896
71401-0065,0.000317585560706184,4.33967846927705E-05,0.446152480520761,0.000873853437222606,0.000688430811717132,0.00129006805404872,0,3.94516224479732E-06,0.0976920800867936,0,0,1.1835486734392E-05,0.431707268961436,3.94516224479732E-05,2.16983923463852E-05,5.12871091823651E-05,6.50951770391557E-05,0.00106519380609528,5.72048525495611E-05,6.31225959167571E-05,0.000124272610711116,0.00274780550350133,0.00326462175756978,0,0.000581911431107604,0,1.97258112239866E-06,0,0,0.00385639609428938,0.000607554985698787,0,1.97258112239866E-06,0.00115593253772561,0.0054403787355755,0.00207318275964099
71401-0066,0.000357382175563994,2.31066061787065E-06,0.00929116634445788,9.93584065684379E-05,0.00258331857077939,1.54044041191377E-05,5.39154144169818E-06,0,0.447318478352961,1.54044041191377E-06,0,1.61746243250945E-05,0.492307040582903,1.54044041191377E-06,0.0110904007455732,3.85110102978442E-06,6.85495983301626E-05,1.07830828833964E-05,0.000162516463456902,5.39154144169818E-06,0.00307317862176796,0.00370321875024069,0.00595765329307649,3.85110102978442E-06,1.61746243250945E-05,0,0.000107060608628007,0,0,0.00923108916839324,0.000215661657667927,2.31066061787065E-06,3.85110102978442E-06,0.00129705082683139,0.0116565125969515,0.00139178791216409
71401-0067,0.000364462467176069,1.31507075785179E-05,0.00831312586213456,0.000152642141536369,0.0586798662197305,1.69080526009516E-05,7.5146900448674E-06,3.28767689462949E-06,0.620653749853816,1.40900438341264E-06,0,1.69080526009516E-05,0.238477749237611,2.81800876682527E-06,0.000833660926852477,9.39336255608425E-07,0.000249863443991841,1.83170569843643E-05,3.9921790863358E-05,4.69668127804212E-07,5.21331621862676E-05,0.00305143382634397,1.5499048217539E-05,0,7.46772323208698E-05,0,1.40900438341264E-06,0,0,0.011281898097985,1.59687163453432E-05,0,9.39336255608425E-07,0.016926369657936,0.0357304724908333,0.00500243522924267
71401-0069,0.00021410678218917,2.37896424654634E-06,0.0125839278761479,0.000214899770271353,0.000267236983695372,2.37896424654634E-05,7.92988082182113E-06,1.58597616436423E-06,0.22781437417777,0,0,7.92988082182113E-07,0.691607727827458,7.92988082182113E-07,0.013868568569283,0,0.000110225343423314,1.98247020545528E-05,5.31302015062016E-05,1.58597616436423E-06,0.003422536562698,0.00292771199941636,0.00432337102405688,0,5.23372134240194E-05,0,4.75792849309268E-06,0,0,0.0160373909740511,0.000484515718213271,0,5.55091657527479E-06,0.00174457378080065,0.016511597847196,0.00769277738524868
